,text
136,Beta Apartments Serviced Apartments
137,"When I first started my homestay business, I wondered how many hosts could manage so many homestay chains at the same time. Meanwhile, with only 3 homestays, I struggle a lot. Then when I knew Cohost Club, I was answered. Now I can spend time networking to develop homestay instead of sitting and chatting with each guest as before"
138,Zeta Homes Homestay chains
139,"Home page Frequently Asked Questions The page answers questions, concerns and issues related to the topic of accommodation, hotel service business & difficulties when using Cohost AI application"
140,Overview
141,About features About the cost About instructions for use About the solution
142,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
143,Overview What is the difference of CoHost AI compared to other management software?
144,"Compared to most management software today that only focuses on a single solution according to each form of accommodation business, Cohost AI is more than that when it comes to bringing a variety of solutions to homeowners, hotel owners, resorts,... In addition, chatbots applying Artificial Intelligence are one of the bright spots in Cohost AI accommodation management software - helping accommodation business owners to simultaneously reduce operating costs by 100% and increase human resource efficiency by 100%"
145,About the solution CoHost AI software can only bring solutions to homestay owners?
146,Cohost AI software provides a variety of solutions for:
147,"Owner of homestay, villa, resort, chain of apartments Hotel owners, hotel chains Serviced apartment owner Co-host or co-host"
148,About instructions for use Where can I log in to CoHost AI storage management software?
149,"To be able to use CoHost AI property management software, please visit the ""app.cohost.club"" website or download the ""Cohost AI Property Management"" software at the Appstore (for IOS) or Google Play (for Androi)"
150,Overview Can co-hosts only manage and operate all activities when present at the accommodation facility?
151,"With Cohost AI housing management software, co-homeowners can completely manage and operate their accommodation facilities remotely, no matter where they are or at any time on any device"
152,"Overview With CoHost AI accommodation management software, can co-hosts really manage the house alone?"
153,"Co-homeowners can completely operate serviced apartments alone when using Cohost AI software with artificial intelligence applications. Specifically, our software has taken on three roles at the same time: Customer Care, Finance and Accounting and Sales & Marketing"
154,About features What benefits do co-hosts benefit from CoHost AI accommodation management software?
155,Cohost AI software supports co-hosts:
156,"Automatic check-in/out.  Multi-channel synchronization, helping to manage 100+ sales channels leisurely. Keep a close eye on financial statements. Support to answer customers 24/7 with Chatbot applying artificial intelligence. Message group management includes 2 modes of guest messaging and internal messaging. Displays each listing's monthly, weekly, and daily calendar, showing the listing's scheduling status. Support flexible automatic translation when chatting with international guests. Supports sample messages in 5+ languages. Payment with a variety of channels (Momo, VnPay, Credit card). Provide a methodical check-list system to control assets. Offer e-training courses on co-host professions"
157,Overview Who is a co-host?
158,"Co-hosts – co-hosts are people who will help the host with the accommodation business. Host - the landlord will hire cohosts to assist in managing one or more listings. Therefore, the co-host acts as the manager of the apartment and house instead of the landlord.  The co-hosts will ensure that the accommodation business is going smoothly by supporting and reducing the burden on the landlords. Co-hosts can help hosts with every aspect of their business, from apartment cleaning to customer care.  A co-host can be a friend, a neighbor. It is more convenient for homeowners if the co-hosts are people they know and trust before. Another option is to hire professional cohosts outside"
159,About features What specific jobs does the software support serviced apartment owners?
160,Cohost AI software supports homeowners:
161,"Automatic check-in/out.  Multi-channel synchronization, helping to manage 100+ sales channels leisurely. Keep a close eye on financial statements. Support to answer customers 24/7 with Chatbot applying artificial intelligence. Message group management includes 2 modes of guest messaging and internal messaging. Displays each listing's monthly, weekly, and daily calendar, showing the listing's scheduling status. Support flexible automatic translation when chatting with international guests. Supports sample messages in 5+ languages. Payment with a variety of channels (Momo, VnPay, Credit card). Provide a methodical check-list system to control assets. Offer e-training courses on co-host professions"
162,Overview Is it possible to operate a serviced apartment with a staff of only one person?
163,"You can completely operate a serviced apartment alone when using Cohost AI software with artificial intelligence applications. Specifically, our software has taken on three roles at the same time: Customer Care, Finance and Accounting and Sales & Marketing"
164,About features How to simultaneously increase personnel efficiency and reduce operating costs at the same time?
165,Homeowners can completely increase personnel efficiency and reduce operating costs at the same time if using the following features of the software:
166,"Multi-channel synchronization: Helps manage 100+ sales channels leisurely, reduces opening multiple windows by 100% and avoids overbooking. Chatbot applies artificial intelligence to support customer response: Helping to save 80% of the volume of information that has to be exchanged with customers. Automatic check-in/ out: Helps cut 30% of the amount of time and effort the host has to spend to check in / out for guests. Methodical check-list system to control assets: Helps control 95% of room quality risks and property loss"
167,‍
168,Overview Serviced apartment owners can only manage and operate all activities when present at the accommodation facility?
169,"With Cohost AI housing management software, homeowners can completely manage and operate their accommodation facilities remotely, no matter where they are or at any time on any device"
170,Overview How to handle and ensure data safety at hotels?
171,"Depending on the needs of use, hoteliers can choose between Cloud computing including Private Cloud, Public Cloud or Hybrid Cloud. With cloud computing, hotel managers will not have to worry about the risk of system attacks, security, data backups, or system connections"
172,Overview The hotel owner manages and operates all activities only when staying at the accommodation facility?
173,"With Cohost AI housing management software, hoteliers can completely manage and operate their accommodation facilities remotely, no matter where they are or at any time on any device"
174,About features How do I minimize booking mistakes when there are already guests staying?
175,"Multi-platform booking sync feature from all OTAs, Facebook, Zalo channels,.. Of Cohost AI software will definitely be a lifesaver for hotel owners to minimize the situation of booking mistakes even if there are guests staying"
176,Overview What are the outstanding benefits of cloud-based computing in accommodation management?
177,"Technically: backing up or moving data is easier than ever. The system is always updated, the server is stable, the technology is always improved, and the schedule is also regularly maintained. In terms of cost: the input cost will be much lower than traditional PMS. Hotel owners do not have to pay server fees, maintenance fees, or manpower fees. In terms of flexibility and scalability: all big data is stored on the internet, and with a mobile-friendly design, hotel owners can completely access the system anywhere or at any time on any device. In terms of integration: the ability to experiment with new ideas and the most modern technology, using the cloud to test technologies such as artificial intelligence and machine learning algorithms. In terms of security: all systems using Cloud computing today comply with the most stringent security standards and security principles, including ISO 27001 or PCI DSS information security"
178,Overview Should hotels use cloud-based or traditional PMS management software?
179,"Before answering your concerns, we would like to make the following small comparison. 1. With traditional PMS management software:"
180,"Hardware systems are not only cumbersome, complex but extremely expensive. The system is only accessible to connected computer sources on the premises of the hotel. The system costs money for maintenance and costs for IT staff"
181,2. With cloud-based PMS management software:
182,"The system uses cloud computing technology, accessible from anywhere around the world. The system automatically backs up and secures information and data. Automatic and free update system, from which it is easy to upgrade and expand"
183,"Thus, it can be concluded that cloud computing solutions bring many benefits as well as better optimization than traditional software"
184,About features What jobs does the software support property owners in?
185,Cohost AI software supports homeowners: Automatic check-in/out
186,"Multi-channel synchronization, helping to manage 100+ sales channels leisurely. Keep a close eye on financial statements. Support to answer customers 24/7 with Chatbot applying artificial intelligence.. Message group management includes 2 modes of guest messaging and internal messaging. Displays each listing's monthly, weekly, and daily calendar, showing the listing's scheduling status. Support flexible automatic translation when chatting with international guests. Supports sample messages in 5+ languages. Payment with a variety of channels (Momo, VnPay, Credit card). Provide a methodical check-list system to control assets"
187,About features How to simultaneously increase personnel efficiency and reduce operating costs at the same time?
188,Homeowners can completely increase personnel efficiency and reduce operating costs at the same time if using the following features of the software:
189,"Multi-channel synchronization: Helps manage 100+ sales channels leisurely, reduces opening multiple windows by 100% and avoids overbooking. Chatbot applies artificial intelligence to support customer response: Helping to save 80% of the volume of information that has to be exchanged with customers. Automatic check-in/ out: Helps cut 30% of the amount of time and effort the host has to spend to check in / out for guests. Methodical check-list system to control assets: Helps control 95% of room quality risks and property loss"
190,Overview Is it possible to operate a homestay with a staff of 1-3 people?
191,"You can completely operate homestay / villa / ... with a staff size of 1-3 people when using Cohost AI software with artificial intelligence applications.  Specifically, our software has taken on three roles at the same time: Customer Care, Finance and Accounting and Sales & Marketing"
192,Overview Can landlords only manage and operate all activities when they are present at the accommodation facility?
193,"With Cohost AI housing management software, homeowners can completely manage and operate their accommodation facilities remotely, no matter where they are or at any time on any device"
194,About features What salient features does the management software include?
195,"More than simply a housing management software, CoHost AI practically takes on more than one job with performance equivalent to 3 positions: FINANCIAL MANAGEMENT, MULTI-PLATFORM OMNICHANNEL MANAGEMENT and CUSTOMER CARE ANA VIRTUAL ASSISTANT. These are also the 3 biggest and most prominent features of the software"
196,Overview Can the management software interact with guests?
197,"Cohost AI accommodation management software can completely interact and take care of guests. In particular, with ana virtual assistant automatic response - 24/7 guest care, homeowners minimize complaints of slow message responses as well as save time on customer care"
198,Overview Is there a need for a housekeeper at the accommodation facility anymore?
199,"Cohost AI acts as a technology butler to help manage accommodation facilities from A->Z remotely. However, housekeepers at the accommodation facility are still extremely necessary, to be able to directly take care of customers if there is a problem during the stay as well as to preserve the facilities"
200,Overview How many accounts are needed on the app when managing multiple housing?
201,"With only a single account on a CoHost AI management software platform, you can completely manage and operate multiple listings at the same time"
202,Overview What is CoHost AI?
203,"Cohost AI is a pioneering application platform using Artificial Intelligence designed to improve the experience as well as bring travelers 5-star experiences. At the same time, this is also a tool to help managers of houses, apartments, hotels, resorts, .... operate and take care of guests more efficiently. The software aims to optimize revenue and save time and effort during operation - management. In addition, the software also acts as a bridge between landlords and co-hosts, helping to operate the chain of accommodation facilities more efficiently"
204,Overview How to partner with CoHost AI?
205,Contact us here! All questions will be answered in a flash
206,About the cost How much does it cost to cooperate with CoHost AI?
207,The cost of cooperating with Cohost AI will depend on the level of commitment along with the individual requirements from the partner
208,Website design services 
209,"Easily tell your brand story and make a deep impression on your customers with a ""digital"" notebook that only your business has"
210,Contact View details
211,"Outstanding benefits when choosing our services CoHost AI ensures the principle of 3 wins when designing websites - ""3 parties win together"": Business, Customer and Google"
212,"Your information has been sent! Something went wrong, please try again!"
213,"IDENTIFICATION Brand standards Build brand recognition and affirm the difference in the hearts of customers, helping to keep them with the business"
214,"SALES Standard Sales Based on the portrait and customer journey, the design aims to optimize the most effective conversion rate on each website"
215,OPTIMAL STANDARD SEO Win rankings on every 4.0 match and quickly capture the first impression of customers when searching
216,"PIONEER Technology integration Making a difference in competitive advantage - Dominating the ""fierce"" market - firmly against the whirlwind of ""technology 4.0"
217,PROGRAMMING No need to be a coder Save a long-term investment in a highly specialized technical team to program a clean bug website
218,CONFIDENTIALITY Data safety Secure all customer information and data through the application of advanced and current security technologies
219,"template library Rich variety, delightful choice The template store will be the place to meet your ""shopping"" needs and help you discover the outfit that best suits your brand"
220,Website templates for tour agents 5.000.000VND
221,View this template
222,"Website templates for virtual currency investment floors, blockchain technology 5.000.000VND"
223,View this template
224,"Template for homestay website, accommodation sales. 5.000.000VND"
225,View this template
226,List Cohost AI Partners
227,Companionship and understanding – CoHost AI is proud to be a part of its customers' brand building and development journey
228,Become our partner
229,"The services of cohost ai Cohost, open!"
230,Template repository Immerse yourself in the template store and freely choose your favorite template
231,Unique website Website design in accordance with the needs and brands of customers
232,Website development Build a smooth website with page loading speed in a flash
233,Template repository Immerse yourself in the template store and freely choose your favorite template
234,Unique website Website design in accordance with the needs and brands of customers
235,Website development Build a smooth website with page loading speed in a flash
236,Get started now
237,Contact us
238,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
239,Vacancies
240,Mobile App Engineer (Flutter) Have you ever traveled experience? Are you passionate about building mobile apps? (we are not an outsourcing company). Do you want to ship products to global users? Join us now!!!
241,"Responsibilities Develop applications on Android platform for Cohost Club - travel and homestay sharing platform. Ensure product quality, performance and stability. Collaborate with other team members and other departments to build new features. Fix bugs, change products to match operating needs. ‍ Challenges Release twice a week. CI/CD, just like our server code. Take user feedback seriously. Work with designers effectively. Analyze user behaviors. Quality Assurance for all supported devices and OS. Must Have Fundamental computer science concepts. Passion for solving user's problems. Have built working mobile apps. What's great in the job? Join a small but quickly growing team with international backgrounds. Opportunity to work and learn with experienced founders team and state-of-the-art technologies. Enjoy various perks and benefits from a wide network of merchants. Grow your professional skills at one of the most exciting prop-tech companies in Vietnam and... Experience the fun & excitement of working in a fast-paced environment. Flexible hours and locations. Travel benefits such as free accommodation and our own experiences.. ‍"
242,Application Enter the form below and we'll contact you as soon as possible
243,Select one... First Choice Second Choice Third Choice
244,Upload a CV
245,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
246,Vacancies
247,"Kỹ sư phần mềm Backend Cohost AI Vietnam is a pioneer in applying technology to home-sharing, multi-platform accommodation business; founded in Silicon Valley, USA, by Vietnamese and international experts"
248,Job description
249,"Develop Web-based applications for Cohost Club - a travel sharing and homestay platform.  Ensure the quality of performance as well as the stability of the product. Collaborate with other team members and departments to build new features. Fix errors, change products to suit operating needs"
250,Job Requirements MANDATORY REQUIREMENTS
251,"Experience in real-time application development Proficient in at least one Python language, NodeJS Knowledge of Micro-services architecture Mastery of RESTful APIs and inter-API communication Experience working with Redis, Elasticsearch, Mysql, Kafka"
252,REQUEST FOR PRIORITY
253,"Mastery of GraphQL APIs and inter-API communication Worked AWS or Google Cloud Used to work with chat systems Knowledgeable about AI, Machine Learning Can plan and design systems Sociable, capable of team-work well Ability to self-study and research new technologies"
254,Right
255,"Attractive competitive income & attractive bonuses Attractive salary regime, 13th month salary, annual bonus, bonus added on holidays, Tet, quarterly assessment to consider salary increase at least 2 times / 1 year, capacity will be evaluated at the time 12 days of leave / year with normal salary Flexible working hours, can work remotely Working in a young, dynamic environment, super friendly bosses and colleagues Weekly Innovation Awards Organize meals, parties every weekend (TGIF) Comfortable nap + lunch assistance/allowance Provide computers/laptops/working equipment Being trained & working with leading experts at home and abroad will help you accumulate and improve your knowledge Business trips are like traveling, sponsored community activities in the team, exchanged to improve programming knowledge and practical experience Team Building every year, exploring famous specialties and landmarks in the world Spacious, airy and comfortable office; There is a kitchen, cake, tea, café, snack cabinet or what you like to eat. Wear what you like comfortably so you can unleash your creativity"
256,‍
257,Application Enter the form below and we'll contact you as soon as possible
258,Select one... First Choice Second Choice Third Choice
259,Upload a CV
260,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
261,Vacancies
262,"Bussiness Developer Cohost AI Vietnam is a pioneer in applying technology to operating a home-sharing, multi-platform accommodation business; was established in Silicon Valley, the USA by Vietnamese and international experts"
263,"Job description Monitor and evaluate industry trends and customer drivers, and meet regularly with management and stakeholders to discuss strategy Generate new leads, identify and contact decision-makers, screen potential business opportunities, select deals in line with strategies, and facilitate pitch logistics Promotion of commercialization of our App (participating in events, workshops; webinars,...). Coordinate with the marketing team to come up with product promotion ideas. Develop and implement overarching outbound sales and business development strategy, sales processes, structure, and best practices across the company Support deal structure and pricing with business-value analysis, and negotiate prices for proactive bids and proposals. Consulting, answering information of customers and partners about the company's products. Communicate regularly with customers about using the App to continuously upgrade the App to give users a better experience. Maintain and share professional knowledge through education, networking, events, and presentations Requirements At least 1 year working in BD position (or a similar position) in the field of tourism, hotel management, real estate, F&B University graduate majoring: Tourism, hotel management, real estate, Economics, Commerce, Business administration, marketing, foreign languages Proficiency in data analysis, forecasting, and budgeting Foreign language: Good at English (reading, writing) Nice to have Experience in sales techniques Experience with PMS software Excellent verbal and written communication, and presentation skill"
264,Application Enter the form below and we'll contact you as soon as possible
265,Select one... First Choice Second Choice Third Choice
266,Upload a CV
267,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
268,Vacancies
269,"Data & Machine Learning Engineer Love to analyze data and devise insight from it? We have gather millions of data points every day about the world of home sharers and real estate industry around the world. Jupiter Notebook, Tensorflow, pyTorch, Airflow, Superset, d3js sounds familiar? Shoot us an email NOW!!!"
270,Responsibilities
271,Do ad-hoc analysis and present results in a clear manner. Jupyter Notebook is a plus. Convert valuable ad-hoc analysis into standard customer reports. Google Data Studio is a plus. Selecting and integrating any big data tools and frameworks necessary to:
272,Apply state-of-the-art machine learning techniques  Visualize data from our customers in real time
273,"Extending cohost.ai's data with third party sources of information when needed Processing, cleansing, and verifying the integrity of data used for analysis"
274,Challenges
275,Analyze 1M conversations in minutes. Predict pricing for thousands listings per day.   Turn data into products. Collaborate effectively during Covid19. Share everything you do with smart colleagues. Have fun even when a crisis happens
276,Must Have
277,"Good understanding of data structures, algorithms and design patterns.  Good command of source code management such as Github/Gitlab Good. English writing skill is a plus. Understand SOA - Service Oriented Architecture, RESTful API.  Passionate about the latest developments in technology  Fast learner and open to constructive criticism"
278,What's great about the job?
279,Join a small but quickly growing team with international backgrounds.  Opportunity to work and learn with an experienced founders team and state-of-the-art technologies.  Enjoy various perks and benefits from a wide network of merchants  Grow your professional skills at one of the most exciting prop-tech companies in Vietnam and... Experience the fun & excitement of working in a fast-paced environment  Flexible hours and locations.  Travel benefits such as free accommodation and our own experiences
280,Application Enter the form below and we'll contact you as soon as possible
281,Select one... First Choice Second Choice Third Choice
282,Upload a CV
283,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
284,Vacancies
285,"Data Science Intern Cohost AI Vietnam is a pioneer in applying technology to operating a home-sharing, multi-platform accommodation business; it was established in Silicon Valley, the USA by Vietnamese and international experts"
286,JOB DESCRIPTIONS
287,"Execute analytical work such as segmentation, forecasting, simulation, and mathematical programming Research & Develop custom insights Support in mapping a network to identify potential investors/customers Exploring and validating new techniques for pricing insights and price recommendations, and simulating pricing concepts to assess the potential value and analyze in-market behavior"
288,MUST-HAVE REQUIREMENTS
289,"Basic understanding and use of at least one programming language (R, Python, Scala, etc) Proficiency in data analysis, forecasting, and budgeting Foreign language: Good at English (reading, writing)"
290,NICE-TO-HAVE REQUIREMENTS
291,"University graduate majoring: Tourism, hotel management, real estate, Economics, Commerce, Business administration, marketing, foreign languages Understand basic algorithms in Data Science (such as Linear Regression, Logistics Regression, ADA, XGboost, etc) Have self-researched a data mining topic (show proof) Experience with PMS software Excellent verbal and written communication, and presentation skills"
292,Application Enter the form below and we'll contact you as soon as possible
293,Select one... First Choice Second Choice Third Choice
294,Upload a CV
295,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
296,Vacancies
297,"Marketing Assistant Cohost AI Vietnam is a pioneer in applying technology to home-sharing, multi-platform accommodation business; founded in Silicon Valley, USA, by Vietnamese and international experts. Our company consists of young, creative, passionate and enthusiastic people with artificial intelligence technology and travel"
298,Job description
299,"Support market research organization, customer data analysis Produce fanpage content & edit publications (images, videos,..) Support managing advertising campaigns, seeding forums Support the organization of communication events / branding of the company Support for planning & organizing online/offline events (Workshop, Seminar, Webinar, Product Launch, Teambuilding, Gala dinner,...) Plan Digital Marketing in accordance with the company strategy and directly deploy advertising campaigns for Digital channels: Facebook Ads, Google Ads, Zalo Ads ... Update the measurement system, report marketing activities Work closely with other departments to bring the best experience to customers Perform other tasks with teams as allocated by management & Board of Directors"
300,"Job Requirements Qualifications, professional experience:"
301,"Bachelor's degree in Marketing, Communication or related industry Experience in content writing and publication production Experience analyzing data and using marketing tools Good communication and writing skills  Proficient in Office Informatics, Powerpoint Having skills in presentations, product introductions or hosting is a great advantage"
302,Personal qualities:
303,"Ability to work independently and in teams Honesty, agility, patience, enthusiasm in work Ability to withstand high pressure at work Have a spirit of learning"
304,Right
305,"Competitive, competent-based salary (enough money and no financial worries so you can focus on work) Work with multinational experts, and associates with many years of experience developing software for Google, Amazon, Airbnb Be considered for regular salary increase 2 times/year Tet bonus according to work results Flexible working hours Enjoy the benefits and regimes prescribed by law (Public holidays, social insurance, health insurance ...) Work in a young, dynamic, super friendly environment TGIF+ Weekly Festival Provide computers/laptops/working equipment Bonus 1 night stay at any homestay monthly"
306,Application Enter the form below and we'll contact you as soon as possible
307,Select one... First Choice Second Choice Third Choice
308,Upload a CV
309,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
310,Vacancies
311,"Senior Marketing Manager Here, we work in a spirit of mutual reciprocity, constantly seeking & selecting interesting people, inspiring us to work harder. Hope you will join us in changing the world, making it better day by day, one customer at a time!"
312,Job description
313,"Plan and develop a strategy, implement and measure the overall marketing plan, advertising and event plan for the company's brand to be able to serve B2B partners as well as the B2C segment Track implementation and report results Market analysis, Customer segmentation, competitor product research... to develop the market, develop marketing activities in accordance with the company's business orientation Plan and implement branding, PR, event programs. Online/offline event organization (Workshop, Seminar, Webinar, Product Introduction, Bidding Tour Presentation, Teambuilding, Gala dinner,...) Plan Digital Marketing in accordance with the company strategy and directly deploy advertising campaigns for Digital channels: Facebook Ads, Google Ads, Zalo Ads ... Establish and maintain relationships with the media and press. Implement monitoring to build Online and Offline Marketing resources Building a measurement system to report marketing activities Responsible for managing, training and developing marketing staff; supervise and fulfill the set targets, report the jeets periodically and as required. Support other tasks with teams as allocated by the Board of Directors"
314,"Job Requirements Qualifications, professional experience:"
315,"Experience working in Marketing positions Knowledge of marketing departments (including traditional and digital marketing such as SEO and social media) and market research methods Experience analyzing data and using marketing tools Proficient in MS Office software, marketing software (such as Adobe Creative Suite & CRM) and SEO tools (Web analytics, Google Adwords ...) Good communication and writing skills  Proficient in Office Informatics, Powerpoint.  Skilled in product presentation or bidding"
316,Personal qualities:
317,"Ability to work independently and in a team. Honesty, agility, patience, enthusiasm in work Ability to be under high pressure at work. Have a spirit of learning"
318,Right
319,"Competitive, competent-based salary (enough money and no financial worries so you can focus on work). Working with multinational experts, and associates with many years of experience developing software for Google, Amazon, Airbnb. Be considered for regular salary increase 2 times/year Tet bonus according to work results. Flexible working hours. Enjoy the benefits and regimes prescribed by law (Public holidays, social insurance, health insurance ...) Work in a young, dynamic, super friendly environment TGIF+ Weekly Festival Provide computers/laptops/working equipment Bonus 1 night stay at any homestay monthly"
320,‍
321,Application Enter the form below and we'll contact you as soon as possible
322,Select one... First Choice Second Choice Third Choice
323,Upload a CV
324,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
325,Vacancies
326,"SEO Executive Cohost AI Vietnam is a pioneer in applying technology to home-sharing, multi-platform accommodation business; founded in Silicon Valley, USA, by Vietnamese and international experts. Our company consists of young, creative, passionate and enthusiastic people with artificial intelligence technology and travel"
327,Job description
328,"Make a long-term SEO plan Keyword research for your products Competitor research Website technical optimization Build backlinks, increase domain rankings"
329,Request
